clase,hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,contraste,homogeneidad,glcm_entropia,lbp_uniformidad,lbp_entropia,esquinas
Roca,17.761232235533782,20.550127698056155,10.868266479119173,6.859037442854335,176.23245986321967,37.56087396025159,15.634282960837574,0.301526025035586,7.196260523195823,0.16950253426928877,2.875981527637661,0.0037638841732550807
Vegetacion,61.27496988932292,46.93978385537573,134.50238199869793,50.539933586266294,107.24794270833333,63.4007573628187,99.50971145072994,0.26270820860528643,7.464155227474195,0.1794056394643254,2.8619794670800722,0.0027091471354166665
Madera,62.87808810763889,42.778760741323694,21.637938368055554,21.079112944346285,108.796943359375,62.6184517949532,753.126306067455,0.06814085732765938,7.728005382395537,0.11175573864689578,3.2401743224681714,0.1679513888888889
Piel,27.433563888888887,19.961066830731227,23.101911805555556,16.959033014574977,149.67769722222224,38.53328157547696,12.727908787541717,0.44827616769971407,7.2072195218157376,0.17720137466435185,2.7822583980155833,0.0033625
Roca,50.30891458333333,48.23133805668817,25.116265625,46.18301100211104,137.21880260416665,69.08917790091715,62.43184320266889,0.2530364100254559,7.869195646318837,0.19353829249837237,2.761673102504935,0.00145625
Vegetacion,55.46283447265625,28.108877072662963,104.1175146484375,69.66700230265872,139.50234781901042,43.89024245956748,95.27642482403546,0.22151501217452357,7.3616627705055,0.1457283830497,3.0296486731162595,0.017891438802083333
Roca,42.24039583333333,46.18928651765453,16.387985416666666,18.254811056032707,151.66593958333334,40.55773750280394,78.22382113821138,0.17923527592907063,7.388605749667019,0.2218203996419271,2.607454373495986,0.013853125
Tela,121.49057983803986,76.54435777339575,110.28568573504984,74.25937279093337,142.24056737956812,53.7919578620948,44.583659600997514,0.20447530145466916,7.569429594518952,0.19137189705271515,2.7657789607316445,0.004416528239202658
Tela,117.92496105341246,2.101234204041498,92.42860765949555,37.39294665707691,141.32969260014838,41.77776041428944,209.13815701559025,0.11175721420027147,7.40109305158927,0.18738387572512358,2.791287510343381,0.02990216988130564
Madera,57.39405490451389,47.86381328301068,26.54554470486111,29.12432831669443,134.4606228298611,59.98376752538279,1191.1537715142558,0.042499134325786204,7.86545465727048,0.10713755679424897,3.2718856306483346,0.28131944444444446
Madera,65.25016059027777,42.236877276351095,25.666520182291666,23.481147389930495,106.81185872395834,60.89296765797607,178.0799721835883,0.13719244313556442,7.735939706232146,0.16155759153483823,2.965076503007368,0.04982747395833333
Vegetacion,48.45047193243914,8.993533915317897,176.18175856929955,56.321802031635514,115.64294088425235,60.12616624199271,1212.3790435164135,0.06604712264847248,7.7103527886327825,0.11019724675846443,3.2518036348705013,0.1038052657724789
Piel,19.297509027777778,15.363188196882676,34.16534027777778,17.13400092192552,153.73438541666667,39.50064838959832,348.8148540044494,0.12213912655083094,7.257480995759146,0.15629766561246142,2.994321386640232,0.033217361111111114
Vegetacion,57.01855387369792,25.172620482026815,74.78294108072917,33.36917824842326,116.03902913411459,63.21407910843494,849.2094344694998,0.13964174097177756,7.467961220962223,0.12481798062589433,3.1575962343658803,0.050816243489583336
